sq,batch,sk,kv_bytes,compact_physical_span,baseline_ms,schedule_only_ms,compact_ms,compact_vs_baseline,schedule_vs_baseline,compact_vs_schedule
4,4,16384,75497472,75497472,0.12611199915409088,0.12615200132131577,0.13183999806642532,0.956553405670952,0.9996829050129534,0.95685682017195
4,4,32768,150994944,150994944,0.25332799553871155,0.25171199440956116,0.2634720057249069,0.9614987172611165,1.006420040224706,0.9553652340293622
4,4,65536,301989888,301989888,0.5270480066537857,0.5243040025234222,0.5459039807319641,0.9654591746099822,1.005233612784104,0.9604326420562459
4,4,131072,603979776,603979776,1.0734080076217651,1.0650720000267029,1.1090720295906067,0.9678433672319675,1.0078267080487078,0.9603271668656673
4,4,262144,1207959552,1207959552,2.1635599732398987,2.139056086540222,2.2330880165100098,0.9688646203122915,1.0114554671351839,0.9578915254237288
4,4,524288,2415919104,2415919104,4.351047992706299,4.3127440214157104,4.477328062057495,0.9717956630381098,1.0088815777380673,0.963240567061295
4,4,932032,4294803456,4294803456,7.736527919769287,7.660607814788818,7.956272125244141,0.9723810093451133,1.0099104544725426,0.962838838868115
4,8,512,4718592,4718592,0.01820800080895424,0.018672000616788864,0.019231999292969704,0.9467554845226211,0.9751499682675984,0.970881931324449
4,8,1024,9437184,9437184,0.02502400055527687,0.025488000363111496,0.026399999856948853,0.9478788140481826,0.9817953624755057,0.9654545644401848
4,8,2048,18874368,18874368,0.038784001022577286,0.039344001561403275,0.04070400074124336,0.9528301964499368,0.9857665586467607,0.9665880710722848
4,8,4096,37748736,37748736,0.06646399945020676,0.06708799675107002,0.07011199742555618,0.9479689909102531,0.990698823469441,0.9568689983808121
4,8,8192,75497472,75497472,0.12670399993658066,0.12718400359153748,0.13259200006723404,0.9555930966599212,0.996225911738882,0.9592132521347118
4,8,16384,150994944,150994944,0.25414399802684784,0.2527199983596802,0.2632319927215576,0.9654753413490932,1.005634693243156,0.9600656658288612
4,8,32768,301989888,301989888,0.5306240022182465,0.5162239968776703,0.5377439856529236,0.9867595293956991,1.0278948778585908,0.9599809772876884
4,8,65536,603979776,603979776,1.0742320120334625,1.0287360548973083,1.0744480192661285,0.9997989598111842,1.0442251021722921,0.9574553970511831
4,8,131072,1207959552,1207959552,2.1555439829826355,2.067919969558716,2.154528021812439,1.0004715469745165,1.0423730196109176,0.9598018445910643
4,8,262144,2415919104,2415919104,4.351216077804565,4.131727933883667,4.328912019729614,1.0051523472810946,1.05312260328685,0.9544495048762244
4,8,524288,4831838208,4831838208,8.704927921295166,8.26144027709961,8.64844012260437,1.006531559204897,1.053681637743589,0.9552520639539075
