batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
8,8,131072,1.774672031402588,1.7051359713077545,1.040780360783488,1.125,"[4, 4]","[32, 32]","[1, 1]",0.8648648648648649
16,8,131072,3.54693603515625,3.4242879152297974,1.0358171167152637,2.25,"[8, 8]","[64, 64]","[2, 2]",1.0
32,8,131072,7.4287519454956055,6.997624039649963,1.0616106128884295,4.5,"[16, 16]","[128, 128]","[4, 4]",1.0
64,8,131072,14.079999923706055,13.403647899627686,1.0504602947752124,9.0,"[32, 32]","[256, 256]","[7, 7]",1.0
64,8,1008576,121.17595863342285,105.59100914001465,1.1475973155322572,69.25341796875,"[32, 32]","[256, 256]","[7, 7]",1.0
32,8,1008576,60.68303203582764,55.23537540435791,1.0986262262470279,34.626708984375,"[16, 16]","[128, 128]","[4, 4]",1.0
16,8,1008576,28.93232011795044,26.84880781173706,1.0776016693487063,17.3133544921875,"[8, 8]","[64, 64]","[2, 2]",1.0
8,8,1008576,14.107448101043701,13.143663883209229,1.0733269068958533,8.65667724609375,"[4, 4]","[32, 32]","[1, 1]",0.8648648648648649
4,8,1008576,10.560527801513672,9.602704048156738,1.0997452122395452,4.328338623046875,"[2, 2]","[16, 16]","[1, 1]",0.43243243243243246
2,8,1008576,9.898263931274414,9.479967594146729,1.0441242370265018,2.1641693115234375,"[1, 1]","[8, 8]","[1, 1]",0.21621621621621623
2,16,512,0.018463999964296818,0.01836800016462803,1.0052264698828597,0.0010986328125,"[1, 1]","[16, 16]","[1, 1]",0.43243243243243246
4,16,512,0.020479999482631683,0.022288000211119652,0.9188800829431999,0.002197265625,"[2, 2]","[32, 32]","[1, 1]",0.8648648648648649
8,16,512,0.028672000393271446,0.030559999868273735,0.9382199122009048,0.00439453125,"[4, 4]","[64, 64]","[2, 2]",1.0
16,16,512,0.04713600128889084,0.049008000642061234,0.9618021684491298,0.0087890625,"[8, 8]","[128, 128]","[4, 4]",1.0
32,16,512,0.08092799782752991,0.08187199756503105,0.9884698093905511,0.017578125,"[16, 16]","[256, 256]","[7, 7]",1.0
64,16,512,0.15670399367809296,0.1626559942960739,0.9634074314706973,0.03515625,"[32, 32]","[512, 512]","[14, 14]",1.0
2,16,4096,0.05531200021505356,0.055135998874902725,1.0031921311618959,0.0087890625,"[1, 1]","[16, 16]","[1, 1]",0.43243243243243246
4,16,4096,0.061455998569726944,0.060367999598383904,1.0180227766131273,0.017578125,"[2, 2]","[32, 32]","[1, 1]",0.8648648648648649
8,16,4096,0.11878400295972824,0.11859200149774551,1.001619008529731,0.03515625,"[4, 4]","[64, 64]","[2, 2]",1.0
16,16,4096,0.2396480068564415,0.2295520007610321,1.0439813465443044,0.0703125,"[8, 8]","[128, 128]","[4, 4]",1.0
32,16,4096,0.4525600075721741,0.4310400038957596,1.049925769028201,0.140625,"[16, 16]","[256, 256]","[7, 7]",1.0
64,16,4096,0.8929120004177094,0.8825920224189758,1.011692806797017,0.28125,"[32, 32]","[512, 512]","[14, 14]",1.0
2,16,32768,0.35017600655555725,0.3316799998283386,1.0557646126893128,0.0703125,"[1, 1]","[16, 16]","[1, 1]",0.43243243243243246
4,16,32768,0.42446398735046387,0.42692799866199493,0.9942285085090382,0.140625,"[2, 2]","[32, 32]","[1, 1]",0.8648648648648649
8,16,32768,0.8678399920463562,0.8472959995269775,1.0242465354856483,0.28125,"[4, 4]","[64, 64]","[2, 2]",1.0
16,16,32768,1.7480319738388062,1.7422400116920471,1.0033244341238232,0.5625,"[8, 8]","[128, 128]","[4, 4]",1.0
32,16,32768,3.329248070716858,3.3339840173721313,0.9985794932937302,1.125,"[16, 16]","[256, 256]","[7, 7]",1.0
64,16,32768,6.60256814956665,6.590335845947266,1.0018560971557933,2.25,"[32, 32]","[512, 512]","[14, 14]",1.0
2,16,131072,1.3125599920749664,1.2604320049285889,1.0413572385837115,0.28125,"[1, 1]","[16, 16]","[1, 1]",0.43243243243243246
4,16,131072,1.6768879890441895,1.6741039752960205,1.001662987358761,0.5625,"[2, 2]","[32, 32]","[1, 1]",0.8648648648648649
8,16,131072,3.397183895111084,3.3483200073242188,1.0145935536866186,1.125,"[4, 4]","[64, 64]","[2, 2]",1.0
16,16,131072,6.936887979507446,6.9032158851623535,1.00487774030325,2.25,"[8, 8]","[128, 128]","[4, 4]",1.0
32,16,131072,13.234464168548584,13.052791833877563,1.0139182741120183,4.5,"[16, 16]","[256, 256]","[7, 7]",1.0
64,16,131072,26.62771224975586,26.303872108459473,1.012311500753999,9.0,"[32, 32]","[512, 512]","[14, 14]",1.0
64,16,1008576,212.85078048706055,204.84661102294922,1.0390739657548673,69.25341796875,"[32, 32]","[512, 512]","[14, 14]",1.0
32,16,1008576,102.89980697631836,100.49252700805664,1.023954815745341,34.626708984375,"[16, 16]","[256, 256]","[7, 7]",1.0
16,16,1008576,55.56747245788574,53.93276882171631,1.0303100262026823,17.3133544921875,"[8, 8]","[128, 128]","[4, 4]",1.0
8,16,1008576,26.797088146209717,26.119056224822998,1.0259592810532845,8.65667724609375,"[4, 4]","[64, 64]","[2, 2]",1.0
4,16,1008576,12.935215950012207,12.801607847213745,1.0104368220299407,4.328338623046875,"[2, 2]","[32, 32]","[1, 1]",0.8648648648648649
2,16,1008576,10.557991981506348,9.471935749053955,1.1146604306897738,2.1641693115234375,"[1, 1]","[16, 16]","[1, 1]",0.43243243243243246
2,32,512,0.02051199972629547,0.020879999734461308,0.9823754783119814,0.0010986328125,"[1, 1]","[32, 32]","[1, 1]",0.8648648648648649
4,32,512,0.02868800051510334,0.03057599999010563,0.938252241116783,0.002197265625,"[2, 2]","[64, 64]","[2, 2]",1.0
8,32,512,0.04710400104522705,0.048976000398397446,0.9617772105124442,0.00439453125,"[4, 4]","[128, 128]","[4, 4]",1.0
16,32,512,0.08084800094366074,0.08276799693703651,0.9768026765848113,0.0087890625,"[8, 8]","[256, 256]","[7, 7]",1.0
32,32,512,0.1587359979748726,0.16179200261831284,0.9811115222385266,0.017578125,"[16, 16]","[512, 512]","[14, 14]",1.0
64,32,512,0.31537599861621857,0.3174159973859787,0.9935731066280208,0.03515625,"[32, 32]","[1024, 1024]","[28, 28]",1.0
2,32,4096,0.05951999872922897,0.06027200073003769,0.9875231949877193,0.0087890625,"[1, 1]","[32, 32]","[1, 1]",0.8648648648648649
4,32,4096,0.11558400094509125,0.11470400169491768,1.0076719141195625,0.017578125,"[2, 2]","[64, 64]","[2, 2]",1.0
8,32,4096,0.23041599988937378,0.2298399955034256,1.0025061103255182,0.03515625,"[4, 4]","[128, 128]","[4, 4]",1.0
16,32,4096,0.44250399619340897,0.43406400084495544,1.019444126515961,0.0703125,"[8, 8]","[256, 256]","[7, 7]",1.0
32,32,4096,0.8818880021572113,0.8768479824066162,1.0057478831584492,0.140625,"[16, 16]","[512, 512]","[14, 14]",1.0
64,32,4096,1.772816002368927,1.752191960811615,1.0117704235714897,0.28125,"[32, 32]","[1024, 1024]","[28, 28]",1.0
2,32,32768,0.4214959964156151,0.42211198806762695,0.9985406914055396,0.0703125,"[1, 1]","[32, 32]","[1, 1]",0.8648648648648649
4,32,32768,0.8499839901924133,0.8471679985523224,1.0033240061533286,0.140625,"[2, 2]","[64, 64]","[2, 2]",1.0
8,32,32768,1.7244960069656372,1.7257439494132996,0.9992768669720171,0.28125,"[4, 4]","[128, 128]","[4, 4]",1.0
